ImageId,MaskId
20230930_21h03m03s_B01_1.png,20230930_21h03m03s_B01_1_mask.png
20230930_21h03m03s_B01_2.png,20230930_21h03m03s_B01_2_mask.png
20230930_21h03m06s_B02_1.png,20230930_21h03m06s_B02_1_mask.png
20230930_21h03m06s_B02_2.png,20230930_21h03m06s_B02_2_mask.png
20230930_21h03m06s_B02_3.png,20230930_21h03m06s_B02_3_mask.png
20230930_21h03m06s_B02_4.png,20230930_21h03m06s_B02_4_mask.png
20230930_21h03m09s_B03_1.png,20230930_21h03m09s_B03_1_mask.png
20230930_21h03m09s_B03_2.png,20230930_21h03m09s_B03_2_mask.png
20230930_21h03m09s_B03_3.png,20230930_21h03m09s_B03_3_mask.png
20230930_21h03m09s_B03_4.png,20230930_21h03m09s_B03_4_mask.png
20230930_21h03m13s_B04_1.png,20230930_21h03m13s_B04_1_mask.png
20230930_21h03m13s_B04_2.png,20230930_21h03m13s_B04_2_mask.png
20230930_21h03m13s_B04_3.png,20230930_21h03m13s_B04_3_mask.png
20230930_21h03m13s_B04_4.png,20230930_21h03m13s_B04_4_mask.png
20230930_21h03m16s_B05_1.png,20230930_21h03m16s_B05_1_mask.png
20230930_21h03m16s_B05_2.png,20230930_21h03m16s_B05_2_mask.png
20230930_21h03m16s_B05_3.png,20230930_21h03m16s_B05_3_mask.png
20230930_21h03m16s_B05_4.png,20230930_21h03m16s_B05_4_mask.png
20230930_21h03m20s_B06_1.png,20230930_21h03m20s_B06_1_mask.png
20230930_21h03m20s_B06_2.png,20230930_21h03m20s_B06_2_mask.png
20230930_21h03m20s_B06_3.png,20230930_21h03m20s_B06_3_mask.png
20230930_21h03m20s_B06_4.png,20230930_21h03m20s_B06_4_mask.png
20230930_21h03m24s_B07_1.png,20230930_21h03m24s_B07_1_mask.png
20230930_21h03m24s_B07_2.png,20230930_21h03m24s_B07_2_mask.png
20230930_21h03m31s_B08_1.png,20230930_21h03m31s_B08_1_mask.png
20230930_21h03m31s_B08_2.png,20230930_21h03m31s_B08_2_mask.png
20230930_21h03m31s_B08_3.png,20230930_21h03m31s_B08_3_mask.png
20230930_21h03m31s_B08_4.png,20230930_21h03m31s_B08_4_mask.png
20230930_21h03m35s_B09_1.png,20230930_21h03m35s_B09_1_mask.png
20230930_21h03m35s_B09_2.png,20230930_21h03m35s_B09_2_mask.png
20230930_21h03m35s_B09_3.png,20230930_21h03m35s_B09_3_mask.png
20230930_21h03m35s_B09_4.png,20230930_21h03m35s_B09_4_mask.png
20230930_21h03m39s_B10_1.png,20230930_21h03m39s_B10_1_mask.png
20230930_21h03m39s_B10_2.png,20230930_21h03m39s_B10_2_mask.png
20230930_21h03m39s_B10_3.png,20230930_21h03m39s_B10_3_mask.png
20230930_21h03m39s_B10_4.png,20230930_21h03m39s_B10_4_mask.png
20230930_21h03m42s_B11_1.png,20230930_21h03m42s_B11_1_mask.png
20230930_21h03m42s_B11_2.png,20230930_21h03m42s_B11_2_mask.png
20230930_21h03m42s_B11_3.png,20230930_21h03m42s_B11_3_mask.png
20230930_21h03m42s_B11_4.png,20230930_21h03m42s_B11_4_mask.png
20230930_21h03m46s_B12_1.png,20230930_21h03m46s_B12_1_mask.png
20230930_21h03m46s_B12_2.png,20230930_21h03m46s_B12_2_mask.png
20230930_21h03m46s_B12_3.png,20230930_21h03m46s_B12_3_mask.png
20230930_21h03m46s_B12_4.png,20230930_21h03m46s_B12_4_mask.png
20230930_21h03m50s_B13_1.png,20230930_21h03m50s_B13_1_mask.png
20230930_21h03m50s_B13_2.png,20230930_21h03m50s_B13_2_mask.png
20230930_21h03m50s_B13_3.png,20230930_21h03m50s_B13_3_mask.png
20230930_21h03m50s_B13_4.png,20230930_21h03m50s_B13_4_mask.png
20230930_21h32m57s_B01_1.png,20230930_21h32m57s_B01_1_mask.png
20230930_21h32m57s_B01_2.png,20230930_21h32m57s_B01_2_mask.png
20230930_21h33m00s_B02_1.png,20230930_21h33m00s_B02_1_mask.png
20230930_21h33m00s_B02_2.png,20230930_21h33m00s_B02_2_mask.png
20230930_21h33m00s_B02_3.png,20230930_21h33m00s_B02_3_mask.png
20230930_21h33m00s_B02_4.png,20230930_21h33m00s_B02_4_mask.png
20230930_21h33m03s_B03_1.png,20230930_21h33m03s_B03_1_mask.png
20230930_21h33m03s_B03_2.png,20230930_21h33m03s_B03_2_mask.png
20230930_21h33m03s_B03_3.png,20230930_21h33m03s_B03_3_mask.png
20230930_21h33m03s_B03_4.png,20230930_21h33m03s_B03_4_mask.png
20230930_21h33m06s_B04_1.png,20230930_21h33m06s_B04_1_mask.png
20230930_21h33m06s_B04_2.png,20230930_21h33m06s_B04_2_mask.png
20230930_21h33m06s_B04_3.png,20230930_21h33m06s_B04_3_mask.png
20230930_21h33m06s_B04_4.png,20230930_21h33m06s_B04_4_mask.png
20230930_21h33m09s_B05_1.png,20230930_21h33m09s_B05_1_mask.png
